DRD2_rs1800497,SLC6A4_rs25531,COMT_rs4680,MAOA_rs6323,HTR2A_rs6313,DRD2_methyl,SLC6A4_methyl,COMT_methyl,MAOA_methyl,HTR2A_methyl,Drug_Exposure_Years,Addiction_Susceptibility_Score,Serotonin_Level,Dopamine_Level
2,1,2,2,1,44.72025405048357,74.88263369633064,65.73534821701286,29.238311041219312,91.06057172144217,2,0.6384887847991355,93.18195171045213,124.6915333978508
0,1,2,2,0,60.05943333606173,65.11475848816741,47.22818041629817,44.391945450637785,50.98540095504577,4,0.3197431954076949,158.7044381392737,102.34714591265224
2,2,2,0,0,51.567942769649775,62.092856747843115,88.0156737921485,2.1913328775008956,50.127564462572934,8,0.05711716337044326,175.4623394869785,108.50645544348156
2,1,2,0,2,91.93919732144174,35.23749466096544,21.57406791764541,30.1046077834313,5.024300982298213,5,0.13762973439836135,179.37344328474515,149.7839889198741
0,0,0,0,0,49.696348290583025,84.144755308476,67.78132003100443,50.26312426301305,3.491155265622381,1,0.0009294168699610639,97.3995711687841,38.995205216401565
0,0,2,1,2,99.21580148233127,47.128716739816454,60.775212225272256,5.617607734743901,55.11599619163721,12,0.9032236273447073,177.83185868025112,56.76117882404796
2,0,1,0,2,85.14249577450957,97.91049380151546,29.53014775718328,49.10957293831652,43.81786132483445,4,0.02461798384123859,56.14009165615181,78.94751248458562
1,2,1,2,1,20.85105143573358,63.41421382957368,13.660090365117261,92.71106288584274,83.91803949802986,7,0.20945576950951106,57.44922371895783,71.73388836586646
2,1,2,0,1,93.05952146439162,12.626474156450273,65.16397604772766,10.539321810780521,16.067958471184518,0,0.41626278068790734,143.52787927612317,32.59746736163803
2,0,2,2,1,11.636639788547608,67.6177562075434,73.85974581323308,76.44407280755044,2.49716621170496,19,0.3565713259508191,59.46595536733194,41.0133127765411
2,2,1,1,2,81.74497084911916,32.5104015431699,31.562734376335,40.967105337599264,44.903876793012586,11,0.9117258769127757,98.69137527652423,111.71439496842915
2,1,1,2,1,38.06232934765801,68.63271966860974,64.48326040223138,65.5173714524338,23.74785567522575,10,0.040288945734542114,150.9133979370386,135.51893560350726
0,2,0,2,0,87.79743204450695,6.964114816240574,39.51309076115032,26.023659798522935,4.961437333883745,6,0.5122147076770516,100.59003440813396,91.7072413519173
2,0,1,0,0,86.80566901074504,17.48814371759594,71.32068832826177,15.949226254135828,72.4598286847629,14,0.680479462524374,76.9399672160144,94.70292954163595
1,0,1,0,2,80.59254001176211,85.57372589057863,19.92152748940531,16.046261427122644,11.159299995724748,10,0.9316979736811688,92.20259327807625,60.61121193988553
0,0,2,2,2,79.00304363070614,22.71795570235149,89.02150026361744,7.049194564314465,60.83195000077717,15,0.620371252123721,118.63629983756476,122.14516363604537
1,2,1,0,1,30.46791390980408,83.704112524294,28.74095964655797,18.564670490124303,28.104975016688915,2,0.8037552360117627,121.30787830332235,120.21535048407077
1,2,0,1,2,8.091928305125219,27.927608845441043,36.77859877561529,66.42193849889682,17.3496050355022,19,0.0837249378453484,167.4500347020803,100.6038827061188
1,0,1,1,2,40.29801787651615,64.28819100587077,5.8091952080349785,88.16906118435081,37.97515229193175,13,0.38593951093692735,162.52298441472686,55.51971438136114
1,2,2,0,0,17.35245149865087,69.4150573509831,11.15122123212764,81.41256855911618,80.14457762229537,2,0.37394713447906747,118.52267068342027,41.64218618845074
0,0,2,1,0,69.49510889024617,51.265475314505295,51.58619027123281,68.51343098744842,39.20935769045727,0,0.8862882164557176,176.8501023648157,37.708629102855106
0,0,1,0,1,34.609972653778556,30.531067669673128,26.75926767279715,11.043186341110268,75.07696492110557,14,0.15137117126327493,67.13557078870937,101.12352799714533
1,1,2,2,2,97.56102008599149,21.264437637109612,83.54802257421944,28.918744629594983,12.548629679915068,0,0.15188617233663027,88.30300253433522,129.004238297136
1,2,0,2,2,64.0972077345332,3.318935456242622,1.4693388654953843,30.980687532246897,77.27714196650791,16,0.32855814988579846,174.19646952533773,132.99965181371098
0,0,0,1,0,82.24805636343609,30.39464012407238,37.90940486719362,24.99569463976212,23.693332490664865,1,0.05446604736683758,106.69910579392297,85.63464892121398
0,0,1,0,2,13.252467274184843,65.3162790531283,33.73455467690927,51.50056597097231,67.73931298888728,19,0.18245804065249005,197.17723381907632,124.11255591680603
0,2,1,0,0,86.20144822726226,93.83048184484826,1.9327630917601035,53.55538148796726,56.57815548409963,5,0.9652096385457352,119.93799222917531,143.62562356092283
2,1,1,1,1,92.27571905133944,87.1204482263052,12.436839900051023,35.68859751711102,92.91447172116874,7,0.42818393986717285,168.7903434445646,63.02041349856816
2,1,2,2,0,48.70619188189359,76.60647765353026,41.36426749186353,35.3789158736436,38.732251797531404,15,0.6320192084224364,110.34605620735579,77.75524156569085
2,0,0,1,2,60.625293775097745,78.84473432532987,49.28645844474466,82.85555979060814,6.616518883444044,18,0.7261112593446369,113.74302785936456,141.77747911160168
1,2,0,2,1,76.48098009029954,66.49849034759953,40.42897472548691,78.92928483196856,1.9155485551252904,0,0.3669614070072005,107.43247209262752,70.58771607807418
